Player,Position,Minutes,Goals,Assists,Total Shoot,Touches,Expected Goals (xG),Carries
Marc Bernal,DM,82,0,0,0,56,0,29
Eric García,DM,8,0,0,0,4,0,1
Alejandro Balde,LB,89,0,0,0,68,0,40
Gerard Martín,LB,1,0,0,0,3,0,0
Iñigo Martínez,CB,90,0,0,0,104,0,68
Pau Cubarsí,CB,90,0,0,0,91,0,51
Jules Koundé,RB,90,0,0,0,79,0,31
Marc-André ter Stegen,GK,90,0,0,0,41,0,27
Iñaki Williams,FW,77,0,0,0,23,0,14
Gorka Guruzeta,FW,13,0,0,0,4,0,2
Nico Williams,LW,90,0,0,3,36,0.1,25
Álex Berenguer,RW,71,0,0,1,28,0,17
Adu Ares,RW,19,0,0,0,11,0,8
Oihan Sancet,AM,61,1,0,0,27,0.8,18
Unai Gómez,AM,29,0,0,0,4,0,2
Mikel Vesga,DM,62,0,0,0,18,0,9
Mikel Jauregizar,DM,28,0,0,0,10,0,2
Beñat Prados,DM,77,0,0,2,32,0,19
Ander Herrera,DM,13,0,0,0,12,0,6
Yuri Berchiche,LB,90,0,0,0,38,0,13
Yeray Álvarez,CB,90,0,0,1,50,0.1,28
Daniel Vivian,CB,90,0,0,0,58,0,36
Iñigo Lekue,RB,90,0,0,0,46,0,24
Alex Padilla,GK,90,0,0,0,35,0,21
Javi Puado,FW,90,0,0,3,17,0.3,9
Alejo Véliz,FW,90,0,0,4,22,0.8,16
Irvin Cardona,LM,67,0,0,0,16,0,8
Brian Oliván,"LM,LB",23,0,0,0,14,0,3
José Gragera,CM,82,0,0,0,19,0,6
Antoniu,RM,8,0,0,0,6,0,1
Alex Král,CM,90,0,0,0,40,0,20
Jofre,RM,82,0,0,3,31,0.5,18
Álvaro Aguado,CM,8,0,0,0,12,0,8
Carlos Romero,LB,86,0,0,2,34,0.1,19
Pere Milla,LM,4,0,0,0,6,0,3
Leandro Cabrera,CB,90,0,0,0,52,0,16
Marash Kumbulla,CB,90,0,0,0,36,0,15
Omar El Hilali,RB,86,0,0,0,39,0,18
Álvaro Tejero,RB,4,0,0,0,11,0,7
Joan García,GK,90,0,0,1,33,0.1,24
Mikel Oyarzabal,FW,66,0,0,0,19,0,10
Umar Sadiq,FW,24,0,0,0,9,0,7
Sheraldo Becker,LM,85,0,0,1,31,0,20
Pablo Marín,LM,5,0,0,0,1,0,1
Beñat Turrientes,CM,66,0,0,1,43,0.1,22
Takefusa Kubo,CM,24,1,0,1,11,0.1,8
Brais Méndez,CM,65,0,0,2,50,0.3,32
Olasagasti,CM,25,0,0,0,14,0,7
Sergio Gómez,RM,90,0,0,2,66,0.1,23
Martín Zubimendi,DM,90,0,0,0,80,0,42
Javi López,LB,90,0,0,0,59,0,26
Jon Pacheco,CB,90,0,0,1,86,0.1,63
Aritz Elustondo,CB,90,0,0,0,71,0,33
Hamari Traoré,RB,82,0,1,0,70,0,35
Jon Aramburu,RB,8,0,0,0,12,0,2
Álex Remiro,GK,90,0,0,0,42,0,18
Chrisantus Uche,FW,90,0,0,2,31,0.1,25
Alex Sola,LW,74,0,0,3,31,0.2,19
Alberto Risco,LW,16,0,0,1,10,0,5
Carles Pérez,RW,80,0,0,1,22,0,15
Mauro Arambarri,RW,10,0,0,0,7,0,3
Carles Aleñá,AM,74,0,0,1,29,0.1,16
Peter Federico,AM,16,0,0,0,6,0,5
Nabil Aberdin,DM,66,0,0,0,19,0,12
Jesús Santiago,DM,24,0,0,0,6,0,2
Luis Milla,DM,90,0,0,1,58,0,21
Diego Rico,LB,90,0,0,0,55,0,14
Omar Alderete,CB,90,0,0,2,54,0,11
Djené,CB,90,0,0,0,40,0,20
Iglesias,RB,90,0,0,1,50,0,15
David Soria,GK,90,0,0,0,30,0,18
Randy Nteka,FW,71,0,0,0,21,0,6
Sergio Camello,FW,19,0,0,0,7,0,5
Adri Embarba,LW,84,0,0,1,31,0,15
Pedro Díaz,LW,6,0,0,0,5,0,0
Jorge de Frutos,RW,63,0,0,0,25,0,16
Álvaro García,RW,27,0,0,0,11,0,3
Óscar Trejo,AM,63,0,0,1,30,0.2,15
Isaac Palazón Camacho,AM,27,0,0,1,8,0,7
Pathé Ciss,DM,71,0,0,0,45,0,15
Unai López,DM,19,0,0,0,14,0,7
Óscar Valentín,DM,90,0,0,0,47,0,20
Alfonso Espino,LB,90,0,0,0,51,0,16
Abdul Mumin,CB,90,0,0,0,44,0,18
Florian Lejeune,CB,90,0,0,0,38,0,14
Iván Balliu,RB,90,0,0,0,57,0,15
Cárdenas,GK,90,0,0,0,30,0,11
Kylian Mbappé,FW,85,0,0,4,41,1,31
Endrick,FW,5,1,0,1,2,0,1
Vinicius Júnior,LW,84,0,0,1,48,0,37
Dani Ceballos,"AM,LW",6,0,0,0,11,0,6
Rodrygo,RW,68,0,1,0,55,0,44
Luka Modrić,DM,22,0,0,0,26,0,18
Arda Güler,AM,68,0,0,5,60,0.5,44
Brahim Díaz,"RW,LW",22,1,1,1,18,0.3,14
Aurélien Tchouaméni,DM,90,0,0,1,101,0,65
Federico Valverde,"DM,AM,RW",90,1,0,2,73,0,54
Fran Garcia,LB,90,0,0,0,75,0,51
Antonio Rüdiger,CB,90,0,0,2,91,0.2,62
Éder Militão,CB,90,0,1,0,89,0,61
Dani Carvajal,RB,90,0,0,0,74,0,35
Thibaut Courtois,GK,90,0,0,0,31,0,17
